file_1, l1 =728522752.0
file_96, l96 =55343104.0
file_97, l97 =1488898048.0
file_98, l98 =733945856.0
file_99, l99 =770017280.0
file_100, l100 =682811392.0
file_101, l101 =8577.0
file_102, l102 =367202304.0
file_103, l103 =733562880.0
file_104, l104 =732636204.0
file_105, l105 =725089934.0
file_106, l106 =730464256.0
file_107, l107 =704563200.0
file_108, l108 =635156454.0
file_109, l109 =728397824.0
file_110, l110 =737370112.0
file_111, l111 =780207316.0
file_112, l112 =727279616.0
file_113, l113 =1890766848.0
file_114, l114 =732876800.0
file_115, l115 =718825472.0
file_116, l116 =1176359923.0
file_117, l117 =734351360.0
file_118, l118 =1432323840.0
file_119, l119 =724566764.0
file_120, l120 =733850074.0
file_121, l121 =1467750400.0
file_122, l122 =782579712.0
file_123, l123 =1151160640.0
file_124, l124 =1564356990.0
file_125, l125 =730175488.0
file_126, l126 =734474240.0
file_127, l127 =725807104.0
file_128, l128 =638758912.0
file_129, l129 =729680672.0
file_130, l130 =677560320.0
file_131, l131 =727746780.0
file_132, l132 =730669056.0
file_133, l133 =729989120.0
file_134, l134 =733880320.0
file_135, l135 =733941760.0
file_136, l136 =732547772.0
file_137, l137 =736295774.0
file_138, l138 =729325568.0
file_139, l139 =1570293760.0
file_140, l140 =737546240.0
file_141, l141 =730906624.0
file_142, l142 =721715200.0
file_143, l143 =601868288.0
file_144, l144 =733947904.0
file_145, l145 =731770880.0
file_146, l146 =726839296.0
file_147, l147 =729790464.0
file_148, l148 =837271826.0
file_149, l149 =733931520.0
file_150, l150 =699772928.0
file_151, l151 =733757440.0
file_152, l152 =725798912.0
file_153, l153 =729104384.0
file_154, l154 =734216432.0
file_155, l155 =730324992.0
file_156, l156 =731795348.0
file_157, l157 =745676572.0
file_158, l158 =784746496.0
file_159, l159 =732313600.0
file_160, l160 =1019830272.0
file_161, l161 =717670400.0
file_162, l162 =1564830687.0
file_163, l163 =590350336.0
file_164, l164 =734691328.0
file_165, l165 =737765376.0
file_166, l166 =677462016.0
file_167, l167 =723607552.0
file_168, l168 =678123520.0
file_169, l169 =734904982.0
file_170, l170 =583532544.0
file_171, l171 =1548732416.0
file_172, l172 =1563015648.0
file_173, l173 =1687814144.0
file_174, l174 =3522103799.0
file_175, l175 =1484828038.0
file_176, l176 =729780224.0
file_177, l177 =658405376.0
file_178, l178 =2043774084.0
file_179, l179 =733599744.0
file_180, l180 =708769792.0
file_181, l181 =722997248.0
file_182, l182 =734214144.0
file_183, l183 =710316032.0
file_184, l184 =734519296.0
file_185, l185 =728102912.0
file_186, l186 =703826974.0
file_187, l187 =553050112.0
file_188, l188 =1711083520.0
file_189, l189 =727373824.0
file_190, l190 =649287680.0
file_191, l191 =605898752.0
file_192, l192 =1326219264.0
file_193, l193 =735866880.0
file_194, l194 =736161792.0
file_195, l195 =172460032.0
file_196, l196 =746801152.0
file_197, l197 =829302784.0
file_198, l198 =733104128.0
file_199, l199 =1174972416.0
file_200, l200 =737679360.0
file_201, l201 =1462177792.0
file_202, l202 =1149241348.0
file_203, l203 =673349632.0
file_204, l204 =1465067520.0
file_205, l205 =734996950.0
file_206, l206 =817780736.0
file_207, l207 =734154752.0
file_208, l208 =1046052864.0
file_209, l209 =648818688.0
file_210, l210 =830408704.0
file_211, l211 =730456064.0
file_212, l212 =692447712.0
file_213, l213 =745791488.0
file_214, l214 =2094624768.0
file_215, l215 =648138752.0
file_216, l216 =733855744.0
file_217, l217 =640815104.0
file_218, l218 =733018112.0
file_219, l219 =1169668361.0
file_220, l220 =3423778.0
file_221, l221 =733747200.0
file_222, l222 =3696563.0
file_223, l223 =4326287.0
file_224, l224 =702711.0
file_225, l225 =1511387.0
file_226, l226 =16295437.0
file_227, l227 =3369501.0
file_228, l228 =65250554.0
file_229, l229 =4451908.0
file_230, l230 =23529373.0
file_231, l231 =12289768.0
file_232, l232 =848857.0
file_233, l233 =1282496.0
file_234, l234 =6137401.0
file_235, l235 =344065.0
file_236, l236 =4840168.0
file_237, l237 =2968151.0
file_238, l238 =5285134.0
file_239, l239 =9613068.0
file_240, l240 =9090053.0
file_241, l241 =3164164.0
file_242, l242 =8432859.0
file_243, l243 =2337326.0
file_244, l244 =4294260.0
file_245, l245 =13447966.0
file_246, l246 =6325211.0
file_247, l247 =365838.0
file_248, l248 =1360139.0
file_249, l249 =47653228.0
file_250, l250 =11000809.0
file_251, l251 =34275610.0
file_252, l252 =2945143.0
file_253, l253 =8690658.0
file_254, l254 =3869693.0
file_255, l255 =68606108.0
file_256, l256 =26536361.0
file_257, l257 =2519129.0
file_258, l258 =414807.0
file_259, l259 =2614660.0
file_260, l260 =1736946.0
file_261, l261 =595747.0
file_262, l262 =592917.0
file_263, l263 =3571641.0
file_264, l264 =681442.0
file_265, l265 =15114339.0
file_266, l266 =126866.0
file_267, l267 =1555067.0
file_268, l268 =626104.0
file_269, l269 =16827251.0
file_270, l270 =737192.0
file_271, l271 =6827703.0
file_272, l272 =2239667.0
file_273, l273 =8787630.0
file_274, l274 =34367008.0
file_275, l275 =1002271.0
file_276, l276 =719108.0
file_277, l277 =2108654.0
file_278, l278 =9719070.0
file_279, l279 =19336782.0
file_280, l280 =3234380.0
file_281, l281 =3513514.0
file_282, l282 =13907150.0
file_283, l283 =5654118.0
file_284, l284 =5736561.0
file_285, l285 =1795587.0
file_286, l286 =20121327.0
file_287, l287 =164947.0
file_288, l288 =8448221.0
file_289, l289 =2518970.0
file_290, l290 =4370815.0
file_291, l291 =382191.0
file_292, l292 =14902722.0
file_293, l293 =9537664.0
file_294, l294 =46283634.0
file_295, l295 =4110801.0
file_296, l296 =500044.0
file_297, l297 =12759273.0
file_298, l298 =371240.0
file_299, l299 =59204385.0
file_300, l300 =14582049.0
file_301, l301 =7785608.0
file_302, l302 =6229184.0
file_303, l303 =3699866.0
file_304, l304 =2836253.0
file_305, l305 =2406016.0
file_306, l306 =11492136.0
file_307, l307 =1645029.0
file_308, l308 =22379507.0
file_309, l309 =37262413.0
file_310, l310 =16015360.0
file_311, l311 =6198676.0
file_312, l312 =55650417.0
file_313, l313 =19083275.0
file_314, l314 =6005154.0
file_315, l315 =9185408.0
file_316, l316 =10691840.0
file_317, l317 =14131802.0
file_318, l318 =399694.0
file_319, l319 =2370860.0
file_320, l320 =14789466.0
file_321, l321 =9502861.0
file_322, l322 =279601.0
file_323, l323 =8499200.0
file_324, l324 =14509336.0
file_325, l325 =7569774.0
file_326, l326 =4867761.0
file_327, l327 =419533.0
file_328, l328 =25699981.0
file_329, l329 =7303323.0
file_330, l330 =2391779.0
file_331, l331 =1659874.0
file_332, l332 =7057172.0
file_333, l333 =8964946.0
file_334, l334 =7533185.0
file_335, l335 =428144.0
file_336, l336 =8156657.0
file_337, l337 =6714694.0
file_338, l338 =11858844.0
file_339, l339 =786903.0
file_340, l340 =6422631.0
file_341, l341 =2948822.0
file_342, l342 =2377041.0
file_343, l343 =2392392.0
file_344, l344 =4071090.0
file_345, l345 =17614624.0
file_346, l346 =1773313.0
file_347, l347 =13753824.0
file_348, l348 =13674248.0
file_349, l349 =3789540.0
file_350, l350 =1461516.0
file_351, l351 =2161011.0
file_352, l352 =2589873.0
file_353, l353 =9685536.0
file_354, l354 =8559.0
file_355, l355 =2236319.0
file_356, l356 =12372596.0
file_357, l357 =502978.0
file_358, l358 =13199826.0
file_359, l359 =12568296.0
file_360, l360 =289947.0
file_361, l361 =21022485.0
file_362, l362 =10730708.0
file_363, l363 =2404696.0
file_364, l364 =68429850.0
file_365, l365 =448477.0
file_366, l366 =325414.0
file_367, l367 =158722.0
file_368, l368 =9824451.0
file_369, l369 =28886269.0
file_370, l370 =15096744.0
file_371, l371 =5324856.0
file_372, l372 =4538468.0
file_373, l373 =4011965.0
file_374, l374 =502196.0
file_375, l375 =4719005.0
file_376, l376 =31093.0
file_377, l377 =103731878.0
file_378, l378 =5353363.0
file_379, l379 =16918932.0
file_380, l380 =9772831.0
file_381, l381 =7249554.0
file_382, l382 =285601.0
file_383, l383 =1395729.0
file_384, l384 =8659556.0
file_385, l385 =32885582.0
file_386, l386 =4725317.0
file_387, l387 =4035781.0
file_388, l388 =2509871.0
file_389, l389 =2196992.0
file_390, l390 =1304556.0
file_391, l391 =28169680.0
file_392, l392 =413015.0
file_393, l393 =9605982.0
file_394, l394 =920925.0
file_395, l395 =12150068.0
file_396, l396 =385520.0
file_397, l397 =3511594.0
file_398, l398 =13289146.0
file_399, l399 =56857.0
file_400, l400 =4190087.0
file_401, l401 =23976481.0
file_402, l402 =52792345.0
file_403, l403 =139989.0
file_404, l404 =57292005.0
file_405, l405 =6874320.0
file_406, l406 =6300939.0
file_407, l407 =10071917.0
file_408, l408 =360707.0
file_409, l409 =4197269.0
file_410, l410 =39191464.0
file_411, l411 =3057230.0
file_412, l412 =1299784.0
file_413, l413 =166133.0
file_414, l414 =875320.0
file_415, l415 =1026322.0
file_416, l416 =5898303.0
file_417, l417 =5378114.0
file_418, l418 =30475760.0
file_419, l419 =2849581.0
file_420, l420 =80181986.0
file_421, l421 =2879440.0
file_422, l422 =2711842.0
file_423, l423 =1379968.0
file_424, l424 =4354269.0
file_425, l425 =4100073.0
file_426, l426 =4364328.0
file_427, l427 =4482777.0
file_428, l428 =8810970.0
file_429, l429 =7265113.0
file_430, l430 =10332546.0
file_431, l431 =4336387.0
file_432, l432 =994974.0
file_433, l433 =1217006.0
file_434, l434 =9621160.0
file_435, l435 =8017375.0
file_436, l436 =49969970.0
file_437, l437 =149802.0
file_438, l438 =1558490.0
file_439, l439 =3953518.0
file_440, l440 =10938154.0
file_441, l441 =4878996.0
file_442, l442 =2392392.0
file_443, l443 =216976.0
file_444, l444 =2076401.0
file_445, l445 =18340212.0
file_446, l446 =379550.0
file_447, l447 =2964599.0
file_448, l448 =7807532.0
file_449, l449 =3430219.0
file_450, l450 =2904191.0
file_451, l451 =19659469.0
file_452, l452 =37220794.0
file_453, l453 =1964550.0
file_454, l454 =241330.0
file_455, l455 =1263714.0
file_456, l456 =12772242.0
file_457, l457 =30473058.0
file_458, l458 =41468404.0
file_459, l459 =1672465.0
file_460, l460 =2357392.0
file_461, l461 =10992764.0
file_462, l462 =297082.0
file_463, l463 =2302244.0
file_464, l464 =4061820.0
file_465, l465 =933356.0
file_466, l466 =4911587.0
file_467, l467 =8760476.0
file_468, l468 =8929589.0
file_469, l469 =863423.0
file_470, l470 =6642460.0
file_471, l471 =16295437.0
file_472, l472 =1642472.0
file_473, l473 =474932.0
file_474, l474 =1732357.0
file_475, l475 =3396811.0
file_476, l476 =2870036.0
file_477, l477 =2979688.0
file_478, l478 =33078948.0
file_479, l479 =3274681.0
file_480, l480 =8924654.0
file_481, l481 =35257444.0
file_482, l482 =1230698.0
file_483, l483 =33131730.0
file_484, l484 =35639254.0
file_485, l485 =2951677.0
file_486, l486 =1863038.0
file_487, l487 =70526678.0
file_488, l488 =14946114.0
file_489, l489 =2316258.0
file_490, l490 =713567.0
file_491, l491 =6523197.0
file_492, l492 =17945651.0
file_493, l493 =5467259.0
file_494, l494 =1540791.0
file_495, l495 =3555639.0
file_496, l496 =3694461.0
file_497, l497 =123854342.0
file_498, l498 =401670.0
file_499, l499 =406260.0
file_500, l500 =3880525.0
file_501, l501 =23234274.0
file_502, l502 =5704847.0
file_503, l503 =2579729.0
file_504, l504 =4145101.0
file_505, l505 =13094330.0
file_506, l506 =2385768.0
file_507, l507 =1728952.0
file_508, l508 =4702171.0
file_509, l509 =426347.0
file_510, l510 =9168571.0
file_511, l511 =11389857.0
file_512, l512 =30017075.0
file_513, l513 =7319190.0
file_514, l514 =2540039.0
file_515, l515 =2778835.0
file_516, l516 =8863675.0
file_517, l517 =2901255.0
file_518, l518 =5051715.0
file_519, l519 =6712506.0
file_520, l520 =33280155.0
file_521, l521 =147456.0
file_522, l522 =102140.0
file_523, l523 =103976556.0
file_524, l524 =2204501.0
file_525, l525 =8585672.0
file_526, l526 =11796402.0
file_527, l527 =13351911.0
file_528, l528 =1756160.0
file_529, l529 =13345764.0
file_530, l530 =12999168.0
file_531, l531 =4002909.0
file_532, l532 =8689383.0
file_533, l533 =8428898.0
file_534, l534 =3384286.0
file_535, l535 =2108011.0
file_536, l536 =4314336.0
file_537, l537 =3926362.0
file_538, l538 =2166391.0
file_539, l539 =17594480.0
file_540, l540 =1106101.0
file_541, l541 =4365096.0
file_542, l542 =2406076.0
file_543, l543 =3287188.0
file_544, l544 =3998745.0
file_545, l545 =2436059.0
file_546, l546 =964371.0
file_547, l547 =4212585.0
file_548, l548 =858543.0
file_549, l549 =9683931.0
file_550, l550 =15943107.0
file_551, l551 =13381243.0
file_552, l552 =5355429.0
file_553, l553 =2369852.0
file_554, l554 =274772.0
file_555, l555 =5434910.0
file_556, l556 =9876333.0
file_557, l557 =2389927.0
file_558, l558 =5322443.0
file_559, l559 =8086500.0
file_560, l560 =44151.0
file_561, l561 =16815453.0
file_562, l562 =3573733.0
file_563, l563 =3699342.0
file_564, l564 =3691593.0
file_565, l565 =1841978.0
file_566, l566 =4599608.0
file_567, l567 =4307725.0
file_568, l568 =4129024.0
file_569, l569 =1526078.0
file_570, l570 =31067766.0
file_571, l571 =3542473.0
file_572, l572 =1123876.0
file_573, l573 =10724898.0
file_574, l574 =136785278.0
file_575, l575 =19167372.0
file_576, l576 =2307538.0
file_577, l577 =5503820.0
file_578, l578 =7252716.0
file_579, l579 =10465398.0
file_580, l580 =2963797.0
file_581, l581 =1060787.0
file_582, l582 =11376594.0
file_583, l583 =1816152.0
file_584, l584 =9025213.0
file_585, l585 =5043861.0
file_586, l586 =1405533.0
file_587, l587 =16331913.0
file_588, l588 =62688753.0
file_589, l589 =2928445.0
file_590, l590 =5594745.0
file_591, l591 =7960446.0
file_592, l592 =3377829.0
file_593, l593 =4720226.0
file_594, l594 =1769126.0
file_595, l595 =475498.0
file_596, l596 =11654185.0
file_597, l597 =2848288.0
file_598, l598 =2447678.0
file_599, l599 =4748027.0
file_600, l600 =15918186.0
file_601, l601 =6865932.0
file_602, l602 =1615913.0
file_603, l603 =1257091.0
file_604, l604 =3840382.0
file_605, l605 =111139331.0
file_606, l606 =565461.0
file_607, l607 =2350755.0
file_608, l608 =8787630.0
file_609, l609 =938781.0
file_610, l610 =6058947.0
file_611, l611 =6221705.0
file_612, l612 =773107.0
file_613, l613 =19546103.0
file_614, l614 =8361755.0
file_615, l615 =409662.0
file_616, l616 =24677432.0
file_617, l617 =7379453.0
file_618, l618 =8803353.0
file_619, l619 =1759714.0
file_620, l620 =12072599.0
file_621, l621 =2658936.0
file_622, l622 =13808490.0
file_623, l623 =5900524.0
file_624, l624 =1878459.0
file_625, l625 =2478508.0
file_626, l626 =1451754.0
file_627, l627 =7537721.0
file_628, l628 =1559923.0
file_629, l629 =29902460.0
file_630, l630 =78841534.0
file_631, l631 =780515.0
file_632, l632 =6766656.0
file_633, l633 =8309758.0
file_634, l634 =7167590.0
file_635, l635 =8813020.0
file_636, l636 =14118928.0
file_637, l637 =7954759.0
file_638, l638 =11303314.0
file_639, l639 =3068787.0
file_640, l640 =4081286.0
file_641, l641 =33949510.0
file_642, l642 =601119.0
file_643, l643 =10161708.0
file_644, l644 =2467312.0
file_645, l645 =238398.0
file_646, l646 =1895681.0
file_647, l647 =38195589.0
file_648, l648 =29470376.0
file_649, l649 =2670435.0
file_650, l650 =3981851.0
file_651, l651 =236806.0
file_652, l652 =7148326.0
file_653, l653 =194557.0
file_654, l654 =6528502.0
file_655, l655 =32501752.0
file_656, l656 =3414868.0
file_657, l657 =1819792.0
file_658, l658 =11035618.0
file_659, l659 =3502771.0
file_660, l660 =8126968.0
file_661, l661 =6542248.0
file_662, l662 =4409744.0
file_663, l663 =6123457.0
file_664, l664 =6452748.0
file_665, l665 =870517.0
file_666, l666 =5594734.0
file_667, l667 =4027099.0
file_668, l668 =782579.0
file_669, l669 =89014.0
file_670, l670 =1145691.0
file_671, l671 =3179497.0
file_672, l672 =2541090.0
file_673, l673 =21090508.0
file_674, l674 =21298031.0
file_675, l675 =9783284.0
file_676, l676 =4211516.0
file_677, l677 =15481321.0
file_678, l678 =32290677.0
file_679, l679 =190038.0
file_680, l680 =8170439.0
file_681, l681 =16906741.0
file_682, l682 =3273703.0
file_683, l683 =22923535.0
file_684, l684 =3592944.0
file_685, l685 =721210.0
file_686, l686 =9084684.0
file_687, l687 =64213682.0
file_688, l688 =3165981.0
file_689, l689 =1846097.0
file_690, l690 =8333939.0
file_691, l691 =1230756.0
file_692, l692 =7140233.0
file_693, l693 =9958933.0
file_694, l694 =1247093.0
file_695, l695 =10550061.0
file_696, l696 =20810111.0
file_697, l697 =165553788.0
file_698, l698 =1463890.0
file_699, l699 =7749215.0
file_700, l700 =377786.0
file_701, l701 =1470668.0
file_702, l702 =481561.0
file_703, l703 =9890542.0
file_704, l704 =37012519.0
file_705, l705 =9395060.0
file_706, l706 =5912489.0
file_707, l707 =5466630.0
file_708, l708 =677121.0
file_709, l709 =5301195.0
file_710, l710 =15509825.0
file_711, l711 =4017718.0
file_712, l712 =4993968.0
file_713, l713 =2293989.0
file_714, l714 =10169283.0
file_715, l715 =5041042.0
file_716, l716 =1917632.0
file_717, l717 =7120811.0
file_718, l718 =1645029.0
file_719, l719 =37343.0
file_720, l720 =3815572.0
file_721, l721 =53962597.0
file_722, l722 =869183.0
file_723, l723 =7763790.0
file_724, l724 =282223.0
file_725, l725 =572498.0
file_726, l726 =3825957.0
file_727, l727 =2097629.0
file_728, l728 =531444.0
file_729, l729 =3940132.0
file_730, l730 =50221868.0
file_731, l731 =27821197.0
file_732, l732 =23301018.0
file_733, l733 =8492846.0
file_734, l734 =20475.0
file_735, l735 =9226787.0
file_736, l736 =1811519.0
file_737, l737 =26980719.0
file_738, l738 =3697776.0
file_739, l739 =670207.0
file_740, l740 =23101785.0
file_741, l741 =147904682.0
file_742, l742 =3113602.0
file_743, l743 =2231589.0
file_744, l744 =698822.0
file_745, l745 =6830502.0
file_746, l746 =3072164.0
file_747, l747 =710306.0
file_748, l748 =32686058.0
file_749, l749 =79481.0
file_750, l750 =6819895.0
file_751, l751 =904480.0
file_752, l752 =8235750.0
file_753, l753 =322646.0
file_754, l754 =84403839.0
file_755, l755 =2163657.0
file_756, l756 =4307580.0
file_757, l757 =3425709.0
file_758, l758 =3568116.0
file_759, l759 =5308913.0
file_760, l760 =1756476.0
file_761, l761 =3900218.0
file_762, l762 =12927921.0
file_763, l763 =20141421.0
file_764, l764 =5716242.0
file_765, l765 =410686.0
file_766, l766 =8947147.0
file_767, l767 =56801.0
file_768, l768 =2890971.0
file_769, l769 =3187645.0
file_770, l770 =11121186.0
file_771, l771 =15861311.0
file_772, l772 =4728516.0
file_773, l773 =5512648.0
file_774, l774 =607974.0
file_775, l775 =5478759.0
file_776, l776 =366740.0
file_777, l777 =2981880.0
file_778, l778 =1818749.0
file_779, l779 =8651798.0
file_780, l780 =5405836.0
file_781, l781 =859874.0
file_782, l782 =7322838.0
file_783, l783 =15844179.0
file_784, l784 =5262778.0
file_785, l785 =3020830.0
file_786, l786 =10725609.0
file_787, l787 =775948.0
file_788, l788 =5002912.0
file_789, l789 =58911726.0
file_790, l790 =11177410.0
file_791, l791 =4110956.0
file_792, l792 =4238688.0
file_793, l793 =1364496.0
file_794, l794 =4852314.0
file_795, l795 =6503454.0
file_796, l796 =2435365.0
file_797, l797 =1734492.0
file_798, l798 =5459820.0
file_799, l799 =315641.0
file_800, l800 =13220465.0
file_801, l801 =128523669.0
file_802, l802 =1151588.0
file_803, l803 =285679.0
file_804, l804 =6871935.0
file_805, l805 =5639419.0
file_806, l806 =668470.0
file_807, l807 =409373.0
file_808, l808 =88735433.0
file_809, l809 =18555343.0
file_810, l810 =994166.0
file_811, l811 =13507024.0
file_812, l812 =955042.0
file_813, l813 =7925436.0
file_814, l814 =8662725.0
file_815, l815 =1370121.0
file_816, l816 =1498456.0
file_817, l817 =19705763.0
file_818, l818 =1758042.0
file_819, l819 =3319060.0
file_820, l820 =9146769.0
file_821, l821 =3687913.0
file_822, l822 =2211840.0
file_823, l823 =4282661.0
file_824, l824 =2553771.0
file_825, l825 =21488181.0
file_826, l826 =20450151.0
file_827, l827 =5303092.0
file_828, l828 =48749586.0
file_829, l829 =1039386.0
file_830, l830 =6959436.0
file_831, l831 =3298832.0
file_832, l832 =358645.0
file_833, l833 =557744.0
file_834, l834 =1292347.0
file_835, l835 =1045958.0
file_836, l836 =9754973.0
file_837, l837 =1551759.0
file_838, l838 =53858887.0
file_839, l839 =23210750.0
file_840, l840 =4238453.0
file_841, l841 =4864267.0
file_842, l842 =411902.0
file_843, l843 =1202929.0
file_844, l844 =9562091.0
file_845, l845 =2086853.0
file_846, l846 =14377071.0
file_847, l847 =nan
file_848, l848 =4900784.0
file_849, l849 =455923.0
file_850, l850 =7220480.0
file_851, l851 =17079598.0
file_852, l852 =593842.0
file_853, l853 =1084653.0
file_854, l854 =18397343.0
file_855, l855 =4044567.0
file_856, l856 =7507345.0
file_857, l857 =377892.0
file_858, l858 =28889561.0
file_859, l859 =5716041.0
file_860, l860 =9874065.0
file_861, l861 =8235829.0
file_862, l862 =7553224.0
file_863, l863 =33271039.0
file_864, l864 =3926544.0
file_865, l865 =255574.0
file_866, l866 =4772437.0
file_867, l867 =495733.0
file_868, l868 =959113.0
file_869, l869 =41743162.0
file_870, l870 =3265611.0
file_871, l871 =4326242.0
file_872, l872 =534677.0
file_873, l873 =6744251.0
file_874, l874 =11897479.0
file_875, l875 =23018801.0
file_876, l876 =538395.0
file_877, l877 =3975430.0
file_878, l878 =35512670.0
file_879, l879 =4927282.0
file_880, l880 =782757.0
file_881, l881 =10934837.0
file_882, l882 =1247064.0
file_883, l883 =12116672.0
file_884, l884 =31585005.0
file_885, l885 =7910915.0
file_886, l886 =4377542.0
file_887, l887 =5711195.0
file_888, l888 =5835035.0
file_889, l889 =2317802.0
file_890, l890 =1899034.0
file_891, l891 =3526088.0
file_892, l892 =1736916.0
file_893, l893 =2942191.0
file_894, l894 =7425583.0
file_895, l895 =2194831.0
file_896, l896 =610477.0
file_897, l897 =50581341.0
file_898, l898 =69384611.0
file_899, l899 =5524861.0
file_900, l900 =2116606.0
file_901, l901 =21030833.0
file_902, l902 =26871836.0
file_903, l903 =6442851.0
file_904, l904 =4129824.0
file_905, l905 =7144140.0
file_906, l906 =4310816.0
file_907, l907 =18397343.0
file_908, l908 =9527141.0
file_909, l909 =14835418.0
file_910, l910 =4623480.0
file_911, l911 =4562774.0
file_912, l912 =626441.0
file_913, l913 =2722665.0
file_914, l914 =287631.0
file_915, l915 =2284842.0
file_916, l916 =7220306.0
file_917, l917 =7587401.0
file_918, l918 =7951859.0
file_919, l919 =6156950.0
file_920, l920 =107821.0
file_921, l921 =5267697.0
file_922, l922 =9092203.0
file_923, l923 =9560610.0
file_924, l924 =19688046.0
file_925, l925 =7631114.0
file_926, l926 =8757023.0
file_927, l927 =1880497.0
file_928, l928 =29389077.0
file_929, l929 =4460910.0
file_930, l930 =8697265.0
file_931, l931 =6785068.0
file_932, l932 =2116410.0
file_933, l933 =2706454.0
file_934, l934 =982437.0
file_935, l935 =3736622.0
file_936, l936 =8072001.0
file_937, l937 =15436562.0
file_938, l938 =3780651.0
file_939, l939 =1564035.0
file_940, l940 =1719995.0
file_941, l941 =5727565.0
file_942, l942 =1462184.0
file_943, l943 =7362473.0
file_944, l944 =4358955.0
file_945, l945 =46673207.0
file_946, l946 =149670.0
file_947, l947 =5618055.0
file_948, l948 =391012.0
file_949, l949 =15805980.0
file_950, l950 =21852947.0
file_951, l951 =7651895.0
file_952, l952 =3666038.0
file_953, l953 =931510.0
file_954, l954 =1391916.0
file_955, l955 =11573859.0
file_956, l956 =56423.0
file_957, l957 =8447361.0
file_958, l958 =655079.0
file_959, l959 =2210600.0
file_960, l960 =3438246.0
file_961, l961 =58589586.0
file_962, l962 =3000832.0
file_963, l963 =471205.0
file_964, l964 =3173716.0
file_965, l965 =2577808.0
file_966, l966 =509949.0
file_967, l967 =8414324.0
file_968, l968 =1890630.0
file_969, l969 =363994.0
file_970, l970 =7878372.0
file_971, l971 =1485412.0
file_972, l972 =13279614.0
file_973, l973 =15065343.0
file_974, l974 =1201199.0
file_975, l975 =24403119.0
file_976, l976 =347551.0
file_977, l977 =3128581.0
file_978, l978 =1948920.0
file_979, l979 =11238939.0
file_980, l980 =1265592.0
file_981, l981 =1117634.0
file_982, l982 =26055529.0
file_983, l983 =36015309.0
file_984, l984 =2467545.0
file_985, l985 =13695822.0
file_986, l986 =3526412.0
file_987, l987 =66575155.0
file_988, l988 =19404.0
file_989, l989 =20204976.0
file_990, l990 =784191.0
file_991, l991 =2017423.0
file_992, l992 =60443812.0
file_993, l993 =28854895.0
file_994, l994 =2813171.0
file_995, l995 =9671088.0
file_996, l996 =10483436.0
file_997, l997 =4494124.0
file_998, l998 =602735.0
file_999, l999 =10477660.0
file_1000, l1000 =1233429.0
file_1001, l1001 =6469450.0
file_1002, l1002 =685747.0
file_1003, l1003 =5180632.0
file_1004, l1004 =25404726.0
file_1005, l1005 =8779584.0
